id_developer,developer
505,Gambrinous
506,Game Dev Castle
507,Game Distillery s.r.o.
508,Game in a Bottle
509,GameCask
510,GameORE
511,GameUS Inc.
512,Gamebell Studio
513,Games Distillery s.r.o.
514,Games Faction
515,Gamesare
516,Gaming Minds Studios
517,Gamious
518,Ganz Studio
519,Gas Powered Games
520,"Gaslamp Games, Inc."
521,Gearbox Software
522,"Gearbox Software,Aspyr (Mac)"
523,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)"
524,General Arcade
525,Geoff Keighley
526,Ghost Crab Games
527,GhostShark
528,Giant Box Games
529,Giants Software
530,Gl33k
531,Glass Knuckle Games
532,Glowforth
533,Gogii Games
534,Going Loud Studios
535,Gojira
536,Goldhawk Interactive
537,GolemLabs
538,Gone North Games
539,"Good Games,Creobit"
540,GoodVole
541,Graveck
542,Gray Matter Studios
543,Green Lava Studios
544,Greenheart Games
545,Gremlin Interactive
546,Grendel Games
547,"Grey Havens, LLC"
548,Grinding Gear Games
549,Grip Games
550,Grundislav Games
551,Guerrilla Bandit
552,"Gunfire Games,Vigil Games,THQ Nordic"
553,"Gunpowder Games, LLC"
554,HB Studios
555,Haemimont Games
556,Haggard Games
557,Hailstorm Games
558,Halfbus
559,Hammer Labs
560,Hammerspace Games
561,Hanako Games
562,Handsome Games
563,HandyGames
564,Handyman Studios
565,Hapa Games
566,Harebrained Schemes
567,Haruneko Entertainment
568,Harvester Games
569,"Hassey Enterprises, Inc."
570,Heartbit Interactive
571,Hello Games
572,Hellscape Games
573,Hemisphere Games
574,"Henrique Pegacha,Rafael Lima,Nuno Guerreiro"
575,Hesketh Studios Ltd
576,Heydeck Games
577,Hinterland Studio Inc.
578,Holotech Studios
579,Holy Priest
580,"Holy Warp,Black Wing Foundation"
581,Hoobalugalar_X
582,Hopoo Games
583,Hothead Games
584,House On Fire
585,Human Head Studios
586,Humongous Entertainment
587,HuniePot
588,Hunted Cow Studios
589,Hydravision Entertainment
590,Hyper Hippo Games
591,HyperSloth
592,H̦rberg Productions
593,I Sioux Game Productions B.V.
594,I-Illusions
595,ICE Entertainment
596,"INTI CREATES CO., LTD."
597,IO Interactive
598,IObit
599,IPACS
600,Ian Campbell
601,"Ian MacLarty,Jon Kerney"
602,Ian Snyder
603,Ice-Pick Lodge
604,Icehole Games
605,Icy Donut
606,Idea Factory
607,"Idea Factory,Compile Heart"
608,Ideas Pad
609,Idigicon
610,Ilex Games
611,IllFonic
612,Illusion Softworks
613,Image & Form Games
614,Image Space Incorporated
615,Immunity Studios
616,Impressions Games
617,Impromptu Games
618,Infinitap Games
619,Infogames Europe SA
620,Ino-Co
621,Ino-Co Plus
622,InsGames
623,"Interactive Binary Illusions,SubZero Software"
624,Interactive Stone
625,Interdimensional Games Inc
626,"International Games System, Co., LTD."
627,Introversion Software
628,Inventive Dingo
629,InvertMouse
630,Inverted Souls
631,IonFx
632,Iron Galaxy
633,Iron Tower Studio
634,Ironhide Game Studio
635,Ironward
636,Irrational Games
637,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
638,"Irrational Games,Looking Glass Studios"
639,Ivy Games
640,JAMgames
641,JDM4iK
642,JForce Games
643,JIW-Games
644,"Jackbox Games, Inc."
645,Jae Lee Productions
646,Jake Huhman
647,Jan Zizka
648,"Jarbit,Castle art by Yuriy Gusev"
649,Jesse Makkonen
650,Jetdogs Studios
651,"Jetdogs Studios,IndeePop"
652,Johan Aronsson
653,John Wizard
654,JosPlays
655,Joshua Neurnberger
656,Joshyy
657,JoyBits Ltd.
658,Jugilus
659,Juicy Beast Studio
660,Julian Glander
661,"Jundroo, LLC"
662,KADOKAWA
663,"KADOKAWA,Yoji Ojima"
664,KBJGames
665,KING Art
666,KITATUS STUDIOS
667,"KOEI TECMO GAMES CO., LTD."
668,KOG
669,KURONEKO SOFT
670,"Kaos Studios,Digital Extremes"
671,Katauri
672,Keen Games
673,Keen Software House
674,Keybol
675,Kheops Studio
676,KillHouse Games
677,Kinto Games LLC
678,Kitfox Games
679,Klei Entertainment
680,Kloonigames
681,Koalabs
682,"Koboldgames,Daedalic Entertainment"
683,Koga Tech Limited
684,Kokakiki
685,Komar Games
686,Konsordo
687,Konstantin Koshutin
688,Kraken Empire
689,"Kritzelkratz 3000,JoWooD"
690,Krome Studios
691,Kukouri
692,Kunos Simulazioni
693,Kyle Pulver
694,Kyy Games
695,L3O Interactive
696,Lab Zero Games
697,Labyrinthine
698,Laminar Research
699,Landfall
700,Landon Podbielski
701,Larian Studios
702,Laser Unicorns
703,Last Bastion Studios LLC
704,Last Limb LLC
705,Laughing Jackal LTD
706,Lavaboots Studios
707,Lazy 8 Studios
708,Le Cortex
709,Leadwerks Software
710,League of Geeks
711,Legend Studio
712,Lei
713,Lemondo Entertainment
714,Lesta Studio
715,Light Echo
716,Lighthouse Games Studio
717,Lionhead Studios
718,Lionsgate
719,Liquid Entertainment
720,Little Green Men Games
721,Little Orbit
722,Little Worlds Interactive
723,Llamasoft LTD
724,Lo-Fi Games
725,Locked Door Puzzle
726,Lonely Troops
727,Lord Kres
728,Loren Lemcke
729,Lost Decade Games
730,Love in Space
731,Lucas Pope
732,Lucas Pope and Keiko Ishizaka
733,Lucky Frame
